Su,Nu,Lu (km),Cl (km),Lur,Rb,ρ,Lb,A (sq. km),P (km),Ff,Re,Rc,Cc,Rt,Rf,Rw,Fs,Dd,C,Di,If,Lg (km),H (km),S (°),Rh,Rn,M,FFR
2,3,4.982,4.048,0.9073506891271057,2.0,2.2042194092827003,5.904,5.133,12.454,0.14725788772115364,0.43300642711251225,0.4158755665429195,1.561688682444086,0.16059097478721696,0.3250361329693271,0.6856368563685638,0.5844535359438925,0.9705825053574908,1.030309112806102,0.602167804094741,0.5672603771814675,0.515154556403051,1.319,24.32,0.2234078590785908,1.2801983245665303,0.5821825223951913,T
2,3,6.5693,5.997,0.5317164179104477,2.0,3.7614035087719304,8.961,13.568,18.516,0.16896738400220346,0.46382750574115045,0.4973147665194027,1.4281061466206137,0.10801468999783971,0.3238820479585224,0.6692333444928021,0.22110849056603774,0.48417600235849056,2.0653646507238212,0.4566696603899959,0.10705542504978417,1.0326823253619106,1.968,28.1,0.21961834616672246,0.9528583726415094,0.5342778585985754,T
3,12,31.853,18.117,1.496572473246795,3.25,2.09928840867275,20.617,58.6032,47.543,0.13787019481352225,0.41897706867669654,0.32580521381723204,1.764400412911983,0.18930231579832993,0.3810655617020382,0.8787408449337925,0.2047669751822426,0.5435368717066645,1.8398015885473893,0.3767306062223338,0.11129840111939236,0.9199007942736948,2.484,28.86,0.12048309647378376,1.3501455893193548,0.32448223593134795,T
3,31,26.459,6.152,2.0503574207325928,5.0,2.9658099669637443,7.199,12.06,17.075,0.23270352426786137,0.5443228171747716,0.5197993679908307,1.3968774038361234,1.4641288433382138,0.36029282576866767,0.854563133768579,2.570480928689884,2.1939469320066336,0.4557995389092558,1.1716240220718848,5.639498747280733,0.22789976945462792,0.903,20.669,0.1254340880677872,1.9811340796019903,0.2600243960999894,T
2,4,10.407,7.35,5.128386336866902,3.0,0.5849793293523197,9.523,10.698,20.898,0.1179655032832574,0.38755431063894646,0.3078243760879052,1.8152007477752434,0.1435544071202986,0.35170829744473153,0.7718156043263678,0.3739016638624042,0.9727986539540101,1.0279619486883829,0.3843566830018257,0.3637310353165116,0.5139809743441914,1.299,17.79,0.13640659456053764,1.263665451486259,0.3971530062529694,T
4,30,70.294,30.186,2.28258890946474,2.275,2.041470102627076,32.542,121.834,64.55,0.1150482511991585,0.38273226017595274,0.3674395274032249,1.6614345168013887,0.34082106893880715,0.4676374903175833,0.927601253764366,0.24623668269941068,0.5769653791224124,1.7332062480439299,0.4267789569522293,0.14207004098751067,0.8666031240219649,2.599,26.39,0.07986601929813779,1.49953302033915,0.23546265029615365,T
3,9,3.503,2.576,1.0614967554644807,2.5,2.5701817007187278,3.101,1.333,6.083,0.13862023058794215,0.42011517383317015,0.4526936269473655,1.4968351582100754,0.9863554167351636,0.4234752589182969,0.8306997742663658,6.751687921980495,2.6279069767441863,0.3805309734513274,2.5692263773908075,17.742807794972,0.1902654867256637,0.674,26.696,0.21734924217994198,1.7712093023255817,0.5837740984743264,T
3,11,8.348,3.536,1.8226205311940182,3.0,1.469104121543146,4.218,4.625,9.733,0.2599552461048306,0.5753132183446089,0.613519194185262,1.2857664476342792,0.8219459570533237,0.3633001130175691,0.838311996206733,2.3783783783783785,1.804972972972973,0.5540249161475802,1.317680881648299,4.292908692476261,0.2770124580737901,1.012,31.098,0.23992413466097676,1.8266326486486488,0.47057044163498046,T
2,8,29.822,19.858,1.4005473718103518,7.0,4.998045864704868,22.711,47.468,46.635,0.09202978747604298,0.3423097496538343,0.27427538636957555,1.9230153370413936,0.15010185483006327,0.4258175190307709,0.8743780546871561,0.16853459172495153,0.6282548243026881,1.5917108175172692,0.2682583327744618,0.1058826703130847,0.7958554087586347,1.755,21.47,0.07727532913566114,1.1025872166512176,0.2547279813540426,T
3,15,15.895,6.774,1.8696670064358607,4.0,1.626193498105987,7.592,6.913,15.076,0.1199372696676997,0.3907798288403335,0.3822118637862536,1.629011251837396,0.7959671000265323,0.44932342796497743,0.8922550052687039,2.1698249674526253,2.299291190510632,0.4349166404529727,0.9436929852154766,4.98905943261384,0.21745832022648634,1.518,19.55,0.1999473129610116,3.4903240271951392,0.5773490999560147,T
2,9,8.625,4.258,1.5084358021160997,8.0,5.303507109004739,4.95,5.066,10.562,0.20675441281501886,0.5130768894079917,0.5706669525295651,1.33316776484233,0.7574323044877864,0.40314334406362434,0.8602020202020202,1.776549545992894,1.70252664824319,0.5873623188405797,1.0434782608695652,3.0246229439772425,0.29368115942028983,1.212,28.777,0.24484848484848484,2.063462297670746,0.5384805574008927,T
4,52,47.297,9.869,2.165779541567075,2.775,1.6709623398452347,10.295,24.909,23.594,0.23501933373448305,0.5470245967852401,0.56229342661758,1.343057673395289,1.6529626176146477,0.41828430957022966,0.9586206896551724,2.0875988598498534,1.8987916014292023,0.5266507389475019,1.0994354821658878,3.96391518223608,0.26332536947375096,1.369,22.047,0.13297717338513843,2.599445702356578,0.2742996805424211,T
4,60,46.71,7.493,3.297544361029576,3.1374999999999997,1.5375449897157347,8.262,22.812,20.359,0.3341896393476744,0.6523062656898532,0.6916085318456622,1.2110051627733847,2.259442998182622,0.3680436170735301,0.9069232631324134,2.6301946344029457,2.047606522882693,0.48837508028259474,1.2845215157353886,5.385603689854532,0.24418754014129737,1.901,32.987,0.23008956669087388,3.8924999999999996,0.3980159125797192,T
3,17,62.852,24.999,2.1202142207103862,3.5,2.944970691032032,27.949,101.067,57.57,0.12938288391784217,0.40587609465953495,0.3832011288042444,1.6269071801907593,0.20844189682126107,0.43423658155289213,0.8944506064617695,0.16820524998268477,0.6218844924653942,1.6080156558263858,0.270476675364348,0.10460423651549668,0.8040078279131929,1.819,21.009,0.06508282943933592,1.131207891794552,0.1809372610046916,T
3,20,17.035,6.843,2.111831307206438,4.166666666666666,2.0653350553792786,7.858,8.446,16.398,0.1367813948281928,0.41731939911689797,0.3947109520690418,1.603011275812083,0.9757287474082206,0.4173069886571533,0.8708322728429626,2.3679848448969927,2.0169310916410135,0.49580275902553567,1.174053419430584,4.776062258207467,0.24790137951276783,1.128,13.16,0.1435479765843726,2.275098271371063,0.38813567401679366,T
5,173,290.076,42.482,2.360309407514379,3.5375,1.5596413222638568,45.233,294.051,83.224,0.14371823520419608,0.4277706632782707,0.5335011424140056,1.3788229036367396,1.7422858790733442,0.5104537152744401,0.9391815709769417,0.5883333163294803,0.9864819368068806,1.0137033053406692,0.5963954274052317,0.5803801893807208,0.5068516526703346,2.704,24.74,0.059779364623173355,2.6674471571258054,0.1576868061639741,T
